                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7523,                 3.3665,                 1.4135,                0.01756,                0.67822,                 0.0951,                0.04118,                 1.4991,                 3.2935,                 1.2883,                0.00012,                0.00012,                0.00012
                      2,                 1.5074,                 2.3841,                 1.2484,                0.32262,                0.24257,                0.19882,                0.12231,                 1.5292,                 2.9787,                 1.2134,             0.00025485,             0.00025485,             0.00025485
                      3,                 1.4761,                  1.737,                 1.1722,                0.02167,                0.83663,                0.21708,                0.12178,                 1.5258,                 2.9048,                 1.1843,             0.00038416,             0.00038416,             0.00038416
                      4,                  1.497,                 1.6967,                 1.1492,                0.02256,                0.87129,                0.29643,                0.18485,                 1.5091,                 2.7596,                 1.1833,             0.00050792,             0.00050792,             0.00050792
                      5,                 1.5492,                  1.755,                 1.2173,                0.96336,                0.13018,                0.44017,                 0.2716,                 1.4955,                 2.5594,                 1.1865,             0.00062614,             0.00062614,             0.00062614
                      6,                 1.4902,                 1.5106,                 1.2468,                      1,                0.07225,                0.33291,                0.19362,                 1.5749,                 2.6519,                 1.2058,             0.00073882,             0.00073882,             0.00073882
                      7,                 1.4829,                 1.5157,                 1.1829,                0.87628,                0.17535,                0.48812,                0.26367,                 1.5936,                 2.5186,                 1.2669,             0.00084595,             0.00084595,             0.00084595
                      8,                 1.4212,                 1.4557,                 1.2017,                0.56719,                0.21782,                0.30244,                0.16103,                 1.6559,                 2.5357,                  1.344,             0.00094754,             0.00094754,             0.00094754
                      9,                 1.6239,                 1.6356,                 1.3116,                0.14676,                0.07426,                0.16214,                0.08546,                 1.6039,                 2.5964,                 1.3498,              0.0010436,              0.0010436,              0.0010436
                     10,                 1.4994,                 1.5358,                  1.325,                0.30971,                0.25743,                0.23785,                0.12137,                 1.6503,                 2.3361,                 1.4004,              0.0011341,              0.0011341,              0.0011341
                     11,                 1.4665,                 1.3982,                 1.2378,                0.41955,                0.30057,                0.30823,                0.16661,                 1.6904,                 2.1698,                 1.3953,               0.001219,               0.001219,               0.001219
                     12,                 1.3696,                 1.5451,                 1.2008,                0.20959,                0.41089,                0.18927,                0.11229,                 1.5761,                  2.375,                 1.3121,              0.0012985,              0.0012985,              0.0012985
                     13,                 1.5193,                 1.5009,                 1.2463,                 0.0927,                0.32673,                0.09001,                0.04432,                 1.6775,                 3.6685,                 1.4499,              0.0013723,              0.0013723,              0.0013723
                     14,                 1.4802,                 1.4458,                 1.1934,                0.09736,                0.42574,                 0.1097,                0.05577,                 1.5759,                 4.1747,                 1.4455,              0.0014406,              0.0014406,              0.0014406
                     15,                 1.4456,                 1.3242,                 1.1673,                0.24332,                0.44059,                0.24315,                0.13712,                 1.5781,                 3.1151,                  1.354,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.4696,                 1.3813,                 1.1979,                0.24708,                 0.4505,                 0.2228,                0.12249,                 1.6138,                  2.509,                 1.3597,               0.001406,               0.001406,               0.001406
                     17,                 1.5058,                 1.4201,                 1.2089,                0.30906,                0.39109,                0.24197,                0.12075,                 1.6376,                 2.1414,                 1.3795,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.4626,                 1.3464,                 1.1462,                0.56302,                0.42737,                0.45535,                 0.2382,                 1.5905,                 1.7915,                 1.3519,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.3913,                 1.3791,                 1.1727,                0.32869,                0.53465,                0.32484,                 0.1695,                 1.6393,                 2.1656,                 1.3793,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.3648,                 1.2747,                 1.1293,                 0.6146,                 0.4802,                 0.5056,                0.27469,                 1.6387,                 1.6436,                 1.3714,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.3938,                 1.2293,                 1.1592,                0.56913,                0.54455,                0.51854,                0.28039,                 1.6058,                 1.6229,                 1.3069,               0.001208,               0.001208,               0.001208
                     22,                 1.3379,                 1.3172,                 1.1576,                0.55703,                 0.5495,                  0.547,                 0.2974,                 1.6265,                 1.5425,                 1.2923,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.4058,                 1.2178,                 1.1169,                0.54314,                0.55941,                0.52783,                0.30029,                 1.5338,                 1.5348,                 1.2197,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.3364,                 1.1964,                 1.1225,                0.65139,                0.55941,                0.56523,                0.31025,                 1.5213,                 1.5017,                  1.219,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.2916,                 1.2064,                 1.1346,                0.62927,                0.61881,                0.60791,                0.34691,                 1.5211,                 1.4273,                 1.2161,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.4204,                  1.276,                  1.197,                0.54352,                0.61881,                0.57425,                0.32111,                 1.5588,                 1.5219,                  1.231,                0.00101,                0.00101,                0.00101
                     27,                 1.3663,                 1.2274,                 1.1444,                0.61667,                0.55446,                0.58889,                0.32466,                 1.5783,                 1.5109,                 1.2542,              0.0009704,              0.0009704,              0.0009704
