                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7523,                 3.3665,                 1.4135,                0.01756,                0.67822,                 0.0951,                0.04118,                 1.4991,                 3.2935,                 1.2883,                0.00012,                0.00012,                0.00012
                      2,                  1.505,                 2.3968,                 1.2489,                0.02578,                0.42574,                  0.195,                0.11951,                 1.5196,                 2.9874,                 1.2075,             0.00024713,             0.00024713,             0.00024713
                      3,                 1.4749,                 1.7299,                 1.1711,                0.02167,                0.83663,                0.23744,                0.13656,                 1.5221,                 2.8882,                  1.188,              0.0003604,              0.0003604,              0.0003604
                      4,                 1.4837,                 1.6809,                 1.1465,                0.02231,                0.86139,                0.28585,                0.18096,                 1.4644,                 2.7705,                 1.1587,             0.00045981,             0.00045981,             0.00045981
                      5,                 1.5317,                 1.7516,                 1.2135,                0.96379,                0.12871,                0.44669,                0.28428,                 1.4349,                 2.5576,                 1.1374,             0.00054536,             0.00054536,             0.00054536
                      6,                 1.4559,                 1.5217,                 1.2321,                 0.7606,                0.12586,                0.25559,                0.16293,                 1.4621,                 2.6117,                 1.1581,             0.00061705,             0.00061705,             0.00061705
                      7,                 1.4551,                 1.4931,                 1.1826,                0.81364,                0.12971,                0.46488,                0.27672,                 1.5153,                 2.4853,                 1.1965,             0.00067488,             0.00067488,             0.00067488
                      8,                  1.426,                 1.3994,                  1.184,                0.76041,                0.28218,                0.45742,                0.26591,                 1.5512,                  2.355,                 1.2218,             0.00071885,             0.00071885,             0.00071885
                      9,                  1.539,                 1.6372,                 1.2657,                 0.5935,                0.18072,                0.30743,                0.17455,                 1.5383,                 2.4699,                 1.2305,             0.00074896,             0.00074896,             0.00074896
                     10,                 1.4692,                 1.5103,                 1.2927,                0.70477,                0.27181,                0.49993,                0.27606,                 1.5181,                 2.2273,                 1.2187,             0.00076521,             0.00076521,             0.00076521
                     11,                  1.476,                 1.5387,                  1.185,                0.71251,                0.38614,                0.54414,                 0.3031,                 1.5723,                 2.0582,                 1.2252,              0.0007676,              0.0007676,              0.0007676
                     12,                  1.466,                 1.5317,                 1.1895,                0.70237,                 0.3388,                0.50736,                0.28028,                 1.5478,                 2.1048,                 1.2024,             0.00075613,             0.00075613,             0.00075613
                     13,                 1.3576,                 1.7374,                 1.2656,                0.76254,                0.37624,                0.56333,                0.30363,                 1.5778,                 2.0922,                 1.2309,              0.0007308,              0.0007308,              0.0007308
                     14,                  1.403,                 1.4789,                 1.1551,                0.69006,                0.47396,                0.58785,                0.31351,                 1.5808,                 1.8318,                  1.244,             0.00069161,             0.00069161,             0.00069161
                     15,                 1.4199,                 1.4275,                 1.2032,                0.72493,                0.58416,                 0.6418,                0.34539,                 1.5367,                 1.6151,                 1.2296,               0.000614,               0.000614,               0.000614
                     16,                 1.3756,                 1.4448,                 1.1657,                0.72999,                0.56931,                 0.6673,                0.33263,                 1.5729,                  1.647,                 1.2475,               0.000515,               0.000515,               0.000515
                     17,                 1.3974,                 1.4541,                 1.1498,                0.70797,                0.55941,                0.65714,                0.34093,                  1.555,                  1.673,                 1.2373,               0.000416,               0.000416,               0.000416
                     18,                 1.4551,                 1.7687,                 1.5082,                0.67419,                0.55446,                0.64745,                0.35338,                 1.5178,                 1.5802,                 1.2181,               0.000317,               0.000317,               0.000317
                     19,                 1.4004,                 1.3455,                 1.1638,                0.64769,                0.59901,                0.65781,                0.36852,                 1.4803,                 1.4701,                 1.1902,               0.000218,               0.000218,               0.000218
                     20,                 1.3049,                 1.2852,                 1.1156,                0.62948,                0.60555,                0.66537,                0.37787,                  1.469,                 1.4009,                 1.1819,               0.000119,               0.000119,               0.000119
